,NUM OF CORES,cpu-dummy,redux,struct,coalesced,grid,dynamic,grid_linearized,Speedup-cpu-dummy,Speedup-redux,Speedup-struct,Speedup-coalesced,Speedup-grid,Speedup-dynamic,Speedup-grid_linearized
0,16,1.607046843,0.4256169796,0.4661140442,0.3199369907,11.24036193,13.56624794,26.14704585,1.0,3.775805289794411,3.447754606403683,5.0230104355357375,0.1429710940811316,0.11845919742198077,0.06146188950825586
1,25,3.889239073,0.4634640217,0.5245890617,0.335340023,18.6340611,22.15707207,29.10105705,1.0,8.391674198860473,7.413877560459245,11.597897078333535,0.20871666418438437,0.17553037065154067,0.1336459725953494
2,36,7.573094845,0.6677880287,0.6657168865,0.3866817951,28.75156808,33.13544917,49.90647578,1.0,11.34056694568595,11.375849101283086,19.584823855080938,0.26339762839815173,0.22854963595473118,0.151745734929953
3,49,14.06376791,1.018746138,0.9761219025,0.4745879173,44.30748415,49.93643284,58.83846998,1.0,13.804977889398389,14.407798732904673,29.63364088578325,0.3174129197313046,0.2816334109218683,0.23902334501186837
4,64,23.48723888,1.67090416,1.446055889,0.5980591774,67.98293996,74.09352398,69.05873394,1.0,14.056604467368134,16.24227601344114,39.27243284202798,0.3454872486217791,0.316994490454252,0.34010526315768136
5,81,37.77190113,2.595701933,2.136893034,0.7885119915,95.75825095,102.884532,113.017566,1.0,14.551709751336848,17.676084169405367,47.90276056315373,0.3944506165815678,0.36712905619282016,0.3342126579685852
6,100,56.84201097,3.870424986,3.029769897,1.0522089,127.036412,135.120542,158.0857661,1.0,14.68624535434931,18.76116434660054,54.02160252588626,0.44744660271104003,0.42067630967614084,0.35956438313392214
7,121,83.59240198,5.647243977,4.295275927,1.421807766,160.872637,170.2187109,168.3940909,1.0,14.802335850983901,19.4614742802762,58.79304078860968,0.5196185226950685,0.4910882096217309,0.49640935458739427
8,144,117.3604629,7.838578939,5.923919916,1.899554014,198.8010681,209.5392611,214.155602,1.0,14.972160619074172,19.81128451500829,61.78316701448638,0.590341209036995,0.5600881776708718,0.5480149097383874
9,169,162.270304,10.89932704,8.053699017,2.483355045,241.2144501,253.2278841,267.548923,1.0,14.8881030364972,20.14854337832526,65.3431752848695,0.6727221521460585,0.6408074078284336,0.6065070349769265
10,196,216.8611789,14.50918603,10.61824799,3.232865095,287.6707389,302.791023,318.5072,1.0,14.946474492201407,20.423442653084994,67.08018198328192,0.7538520592300672,0.7162074250133895,0.680867430626372
11,225,287.1291521,19.13406897,13.96601009,4.147140026,339.9854729,352.824935,372.4503329,1.0,15.006173153770124,20.559139671937615,69.23546113704337,0.8445335903644723,0.8138006235301936,0.7709193058422958
12,256,369.2419569,23.41340399,17.87759113,5.276268959,390.3482111,404.0784321,380.832504,1.0,15.770537127267158,20.653898739208945,69.98164039196016,0.9459296761203986,0.9137878381210438,0.9695652367425025
13,289,471.1418259,31.51093388,22.69226718,6.652472019,451.6906161,466.744108,387.7777569,1.0,14.951693519912904,20.762219224848735,70.82206803040745,1.0430631257473229,1.0094221176542415,1.2149789860729374
14,324,590.041765,40.25029492,28.459759,8.286774158,514.354172,529.6364291,392.5206001,1.0,14.659315321111194,20.73249337775489,71.2028292010803,1.1471507321612628,1.1140505686186382,1.5032122259307634
15,361,734.7997229,50.59674788,35.27926683,10.2536509,582.9627349,598.6939008,397.5879421,1.0,14.52266704260756,20.82808938294481,71.66225279817162,1.2604574510685418,1.2273379132777695,1.8481438823795757
16,400,899.3382459,62.35665703,43.11427307,12.52666783,656.4947948,668.3936501,401.7234771,1.0,14.422489734613663,20.859408772585386,71.79389268598496,1.3699091798191358,1.3455218279908072,2.2386997453876214
17,484,1321.184794,91.11564493,62.98212695,18.30804205,821.5474741,830.0977561,410.8888302,1.0,14.500087169607438,20.97713840386586,72.16417738127272,1.6081660958757733,1.5916014521075754,3.2154312721446185
18,576,1874.843028,131.4123011,89.25056696,25.90695095,1007.765296,1008.900324,418.964391,1.0,14.2668761775453,21.006511127713736,72.36833974088333,1.860396498511693,1.8583035245412411,4.474946005614115
19,676,2591.428865,179.4434052,123.097167,35.70906591,1226.002696,1216.455345,428.7942011,1.0,14.441482884877844,21.051896872655078,72.57061474336392,2.1137219954367863,2.1303115446461374,6.043525911386211
20,768,3510.669786,,,,1540.205204,1512.733409,459.10167,1.0,,,,2.2793519830231657,2.320745853243729,7.646824255725316
21,900,4605.072844,322.8011382,227.6312079,63.57685399,,,,1.0,14.26597461731007,20.230410788063125,72.43316639612794,,,
22,1024,5925.305437,395.466795,327.042412,82.39934301,,,,1.0,14.983066876702,18.11785022243537,71.90961991384937,,,
23,1225,7958.26165,603.150023,565.595047,118.1416969,,,,1.0,13.194497797441018,14.070599967612518,67.36200561547885,,,
24,1369,10689.66127,722.9270668,796.56498,147.65237,,,,1.0,14.786638598714035,13.419697750207398,72.39749196033901,,,
25,1444,11699.67762,1036.159953,939.8660541,163.1457682,,,,1.0,11.291381785337151,12.448239373006631,71.71303153666477,,,
26,1600,14366.25576,1044.995413,1312.789202,201.8642509,,,,1.0,13.747673512515215,10.94330737799594,71.16790464853923,,,
27,1764,17868.55978,1266.932813,,245.5883062,,,,1.0,14.103794294891312,,72.75818648078611,,,
28,1849,,1395.668813,,295.2951989,,,,,,,,,,
