ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,0.3199369907,112803.7581,12.87714133
5,5,25,12,0.4799999893,100000,-nan,0.335340023,117054.6278,13.36240044
6,6,36,18,0.5,100000,-nan,0.3866817951,105172.0294,12.00593943
7,7,49,24,0.4896999896,100000,-nan,0.4745879173,107750.4614,12.30028099
8,8,64,32,0.5,100000,-nan,0.5980591774,102043.8938,11.64884632
9,9,81,40,0.4938000143,100000,-nan,0.7885119915,103756.5133,11.84435083
10,10,100,50,0.5,100000,-nan,1.0522089,100419.6557,11.46343101
11,11,121,60,0.4957999885,100000,-nan,1.421807766,101594.6547,11.59756332
12,12,144,72,0.5,100000,-nan,1.899554014,99391.05792,11.34601118
13,13,169,84,0.4970000088,100000,-nan,2.483355045,100226.0787,11.44133319
14,14,196,98,0.5,100000,-nan,3.232865095,98699.23328,11.26703576
15,15,225,112,0.4977000058,100000,-nan,4.147140026,99367.96672,11.3433752
16,16,256,128,0.5,100000,-nan,5.276268959,98194.28864,11.20939368
17,17,289,144,0.4981999993,100000,-nan,6.652472019,98726.7584,11.2701779
18,18,324,162,0.5,100000,-nan,8.286774158,97798.71744,11.16423715
19,19,361,180,0.4986000061,100000,-nan,10.2536509,98240.39936,11.21465746
20,20,400,200,0.5,100000,-nan,12.52666783,97512.56064,11.13157085
22,22,484,242,0.5,100000,-nan,18.30804205,97288.36608,11.10597786
24,24,576,288,0.5,100000,-nan,25.90695095,97090.52928,11.08339375
26,26,676,338,0.5,100000,-nan,35.70906591,96924.30336,11.06441819
30,30,900,450,0.5,100000,-nan,63.57685399,96671.04768,11.03550773
32,32,1024,512,0.5,100000,-nan,82.39934301,96583.168,11.0254758
35,35,1225,612,0.4995000064,100000,-nan,118.1416969,96659.8656,11.03423123
37,37,1369,684,0.4995999932,100000,-nan,147.65237,96528.62976,11.01924997
38,38,1444,722,0.5,100000,-nan,163.1457682,96345.43616,10.99833746
40,40,1600,800,0.5,100000,-nan,201.8642509,96267.4688,10.98943708
42,42,1764,882,0.5,100000,-nan,245.5883062,96225.05472,10.98459529
44,44,1936,968,0.5,100000,-nan,295.2951989,96179.58912,10.97940515
45,45,2025,1012,0.4997000098,100000,-nan,323.9313719,96275.23072,10.99032314
