ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,64.53773252,1.640548944,117703.4363,13.43646533
5,5,25,12,0.4799999893,100000,52.39185878,3.876219034,118677.5135,13.54766136
6,6,36,18,0.5,100000,39.74441154,7.699707985,104898.5012,11.97471475
7,7,49,24,0.4896999896,100000,34.41662799,14.03019786,106295.7303,12.13421579
8,8,64,32,0.5,100000,28.73234866,23.526757,99931.69874,11.40772817
9,9,81,40,0.4938000143,100000,25.78831807,39.51186109,101095.3604,11.54056625
10,10,100,50,0.5,100000,22.51989317,57.1799891,97479.8454,11.12783623
11,11,121,60,0.4957999885,100000,20.6713691,83.54924011,98318.47892,11.22357065
12,12,144,72,0.5,100000,18.60510529,117.444133,95968.11679,10.95526447
13,13,169,84,0.4970000088,100000,17.3003194,162.845892,96616.49664,11.02928044
14,14,196,98,0.5,100000,15.77308423,221.323709,94953.75069,10.83946926
15,15,225,112,0.4977000058,100000,14.81721209,289.5696142,95490.96993,10.90079565
16,16,256,128,0.5,100000,13.72277579,373.433511,94244.74258,10.75853226
17,17,289,144,0.4981999993,100000,12.99837775,472.4340649,94673.75941,10.80750678
18,18,324,162,0.5,100000,12.21573743,592.1567509,93736.16882,10.70047589
19,19,361,180,0.4986000061,100000,11.5449304,746.897696,94057.76406,10.73718768
20,20,400,200,0.5,100000,10.90700206,915.3317459,93335.14447,10.65469686
