ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,63.19523781,1.607046843,115807.4976,13.22003398
5,5,25,12,0.4799999893,100000,52.59366524,3.889239073,120341.2867,13.7375898
6,6,36,18,0.5,100000,40.49768294,7.573094845,108165.2766,12.34763432
7,7,49,24,0.4896999896,100000,35.36022377,14.06376791,110739.8947,12.64154049
8,8,64,32,0.5,100000,29.65422872,23.48723888,104800.549,11.96353299
9,9,81,40,0.4938000143,100000,26.71893909,37.77190113,106525.7577,12.16047462
10,10,100,50,0.5,100000,23.39258796,56.84201097,103050.113,11.76371152
11,11,121,60,0.4957999885,100000,21.55006946,83.59240198,104221.5173,11.89743348
12,12,144,72,0.5,100000,19.39433489,117.3604629,101916.8869,11.63434782
13,13,169,84,0.4970000088,100000,18.06367859,162.270304,102778.2475,11.73267665
14,14,196,98,0.5,100000,16.47997684,216.8611789,101132.3495,11.54478876
15,15,225,112,0.4977000058,100000,15.47324827,287.1291521,101820.1422,11.62330391
16,16,256,128,0.5,100000,14.36280941,369.2419569,100572.9376,11.48092895
17,17,289,144,0.4981999993,100000,13.61040294,471.1418259,101108.4789,11.54206381
18,18,324,162,0.5,100000,12.80098502,590.041765,100167.8977,11.43469152
19,19,361,180,0.4986000061,100000,12.10674802,734.7997229,100567.8602,11.48034933
20,20,400,200,0.5,100000,11.42326997,899.3382459,99839.44318,11.39719671
22,22,484,242,0.5,100000,10.338636,1321.184794,99566.61941,11.36605244
24,24,576,288,0.5,100000,9.504071814,1874.843028,99333.30232,11.33941807
26,26,676,338,0.5,100000,8.753605486,2591.428865,99146.63271,11.31810876
28,28,784,392,0.5,100000,8.171652909,3462.441234,99003.51552,11.30177118
30,30,900,450,0.5,100000,7.61049155,4550.033506,98865.1224,11.28597288
32,32,1024,512,0.5,100000,7.123812812,5912.760227,98747.14692,11.27250536
34,34,1156,578,0.5,100000,6.728185939,7511.204225,98641.42815,11.260437
36,36,1296,648,0.5,100000,6.35648094,9442.525863,98555.11566,11.25058398
