ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,5574,4.74542307,0.1239359379,191261.7764,21.83353612
5,5,25,6,0.24,3115,8.129353429,0.1412069798,333114.1325,38.02672746
6,6,36,6,0.1666,1909,10.98383199,0.1865670681,469764.7244,53.62611009
7,7,49,6,0.1224,1410,12.9992136,0.255368948,592305.8467,67.61482268
10,10,100,6,0.06,855,13.46351011,0.6507129669,874995.1975,99.88529652
11,11,121,6,0.0495,784,12.11009761,0.8763451576,947919.6592,108.2100068
15,15,225,6,0.0266,679,3.674367341,2.651360989,1164751.46,132.9624955
20,20,400,6,0.015,596,-nan,7.345365047,1349023.136,153.9980749
22,22,484,6,0.0123,573,-nan,10.52910089,1404757.894,160.3604902
25,25,625,6,0.0096,561,-nan,17.77429008,1475121.875,168.3929082
30,30,900,6,0.0066,555,-nan,35.88348484,1573939.034,179.6734057
35,35,1225,6,0.0048,536,-nan,63.99728179,1654368.043,188.8547994
40,40,1600,6,0.0037,529,-nan,111.3529,1715187.266,195.7976332
42,42,1764,6,0.0034,529,-nan,135.7749789,1732250.492,197.7454899
