ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,94.18687864,1.755114079,190927.3725,21.79536215
5,5,25,6,0.24,100000,120.2221384,4.524791956,332359.928,37.94063105
6,6,36,6,0.1666,100000,134.6529848,9.716845036,468342.6326,53.46377084
7,7,49,6,0.1224,100000,142.4326792,18.08090496,590333.1872,67.38963324
10,10,100,6,0.06,100000,146.207667,76.55965114,873201.2116,99.6805036
11,11,121,6,0.0495,100000,145.580866,111.9061809,946051.9591,107.996799
15,15,225,6,0.0266,100000,139.6823442,386.7374332,1165782.672,133.0802136
16,16,256,6,0.0234,100000,138.6949327,499.1844909,1208213.131,137.9238734
17,17,289,6,0.0207,100000,136.6194893,636.5779328,1247294.983,142.385272
18,18,324,6,0.0185,100000,136.0386802,800.2188518,1282692.136,146.426043
19,19,361,6,0.0166,100000,133.7338239,997.8572989,1315850.989,150.2113001
20,20,400,6,0.015,100000,132.4022601,1228.931074,1346286.039,153.6856209
22,22,484,6,0.0123,100000,130.0404208,1856.326735,1404194.172,160.2961383
