ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,95.33263381,1.825083971,192690.5232,21.99663506
5,5,25,6,0.24,100000,119.0253197,4.698326111,327223.4066,37.35427016
6,6,36,6,0.1666,100000,132.2558915,9.741425991,457292.2326,52.20230966
7,7,49,6,0.1224,100000,138.7853749,18.11829019,574525.6296,65.58511753
10,10,100,6,0.06,100000,141.9308188,75.46066785,851055.9585,97.15250668
11,11,121,6,0.0495,100000,141.6047771,110.9384699,923249.1315,105.3937365
15,15,225,6,0.0266,100000,135.7990996,384.2128551,1143939.21,130.5866678
16,16,256,6,0.0234,100000,134.5186753,502.5428441,1186389.26,135.432564
17,17,289,6,0.0207,100000,132.8665878,637.4372461,1226552.649,140.0174257
18,18,324,6,0.0185,100000,131.6709902,802.3414621,1262047.916,144.0693968
19,19,361,6,0.0166,100000,130.5681909,999.8489439,1295940.979,147.9384679
20,20,400,6,0.015,100000,129.0436878,1227.821906,1327052.218,151.4899792
