ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,13.56624794,115913.8918,13.23217943
5,5,25,12,0.4799999893,100000,-nan,22.15707207,120319.6928,13.73512475
6,6,36,18,0.5,100000,-nan,33.13544917,108134.0314,12.34406751
7,7,49,24,0.4896999896,100000,-nan,49.93643284,110747.0541,12.64235777
8,8,64,32,0.5,100000,-nan,74.09352398,104853.4426,11.96957107
9,9,81,40,0.4938000143,100000,-nan,102.884532,106445.783,12.1513451
10,10,100,50,0.5,100000,-nan,135.120542,103013.0586,11.75948157
11,11,121,60,0.4957999885,100000,-nan,170.2187109,104182.2618,11.89295226
12,12,144,72,0.5,100000,-nan,209.5392611,101909.8317,11.63354243
13,13,169,84,0.4970000088,100000,-nan,253.2278841,102771.3229,11.73188617
14,14,196,98,0.5,100000,-nan,302.791023,101005.7421,11.53033585
15,15,225,112,0.4977000058,100000,-nan,352.824935,102068.3264,11.65163543
16,16,256,128,0.5,100000,-nan,404.0784321,100027.0643,11.41861465
17,17,289,144,0.4981999993,100000,-nan,466.744108,101514.24,11.58838356
18,18,324,162,0.5,100000,-nan,529.6364291,99775.91808,11.38994499
19,19,361,180,0.4986000061,100000,-nan,598.6939008,100894.249,11.51760833
20,20,400,200,0.5,100000,-nan,668.3936501,98497.47456,11.24400395
22,22,484,242,0.5,100000,-nan,830.0977561,98923.23328,11.29260654
24,24,576,288,0.5,100000,-nan,1008.900324,97110.016,11.08561826
26,26,676,338,0.5,100000,-nan,1216.455345,98346.72128,11.22679467
28,28,784,392,0.5,100000,-nan,1512.733409,96269.53728,10.98967321
out of memory in ./src/montecarlo_gpu.h at line 1513
