ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,-nan,0.365803957,221376.9011,25.27133574
5,5,25,6,0.24,100000,-nan,0.5562648773,375651.8605,42.88263247
6,6,36,6,0.1666,100000,-nan,1.005216122,524060.9178,59.82430568
7,7,49,6,0.1224,100000,-nan,1.853000879,658929.5002,75.22026258
10,10,100,6,0.06,100000,-nan,7.807149172,976111.6979,111.428276
11,11,121,6,0.0495,100000,-nan,11.46585488,1058973.614,120.8873989
15,15,225,6,0.0266,100000,-nan,40.09559608,1311729.091,149.7407638
16,16,256,6,0.0234,100000,-nan,49.58782101,1360677.929,155.3285307
17,17,289,6,0.0207,100000,-nan,65.87226987,1406292.623,160.5356876
18,18,324,6,0.0185,100000,-nan,84.29737806,1447517.553,165.2417298
19,19,361,6,0.0166,100000,-nan,104.9256721,1486096.302,169.6456966
20,20,400,6,0.015,100000,-nan,129.260226,1521524.736,173.6900384
git config --global user.email "nicola.dean@mail.polimi.it"
git config --global user.name "NicolaDean"
