ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,115071.6158,0.5048019886,115072.0548,13.13607931
5,5,25,12,0.4799999893,100000,119374.9314,0.9465031624,119375.3868,13.62732726
6,6,36,18,0.5,100000,107314.8491,1.779414177,107315.2584,12.25060028
7,7,49,24,0.4896999896,100000,109715.8424,3.225831985,109716.261,12.52468732
8,8,64,32,0.5,100000,103855.7697,5.255622149,103856.1659,11.8557267
9,9,81,40,0.4938000143,100000,105413.1735,8.357982159,105413.5756,12.03351319
10,10,100,50,0.5,100000,101975.545,12.55319595,101975.934,11.64108836
11,11,121,60,0.4957999885,100000,103069.4782,18.353405,103069.8713,11.76596705
12,12,144,72,0.5,100000,100786.961,25.69850492,100787.3455,11.50540474
13,13,169,84,0.4970000088,100000,101598.9381,35.46251011,101599.3257,11.59809654
14,14,196,98,0.5,100000,99952.39168,47.34516311,99952.77296,11.4101339
15,15,225,112,0.4977000058,100000,100578.9283,62.5905838,100579.312,11.48165662
16,16,256,128,0.5,100000,99364.06328,81.36250305,99364.44232,11.34297287
17,17,289,144,0.4981999993,100000,99826.20523,105.7275429,99826.58604,11.395729
18,18,324,162,0.5,100000,98914.59371,133.0771401,98914.97103,11.29166336
