ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,67.03227496,115831.6032,13.22278575
5,5,25,12,0.4799999893,100000,-nan,72.73451495,120411.9757,13.74565932
6,6,36,18,0.5,100000,-nan,95.60484409,108581.4784,12.39514594
7,7,49,24,0.4896999896,100000,-nan,111.056761,111206.185,12.69476997
8,8,64,32,0.5,100000,-nan,129.8647151,105096.1613,11.99727868
9,9,81,40,0.4938000143,100000,-nan,157.788713,107031.4701,12.21820435
10,10,100,50,0.5,100000,-nan,191.690726,103511.9309,11.81643047
11,11,121,60,0.4957999885,100000,-nan,202.7758031,104704.041,11.95251609
12,12,144,72,0.5,100000,-nan,239.8394401,102436.7923,11.69369775
13,13,169,84,0.4970000088,100000,-nan,283.6686049,103268.0346,11.78858842
14,14,196,98,0.5,100000,-nan,328.092401,100905.984,11.51894795
15,15,225,112,0.4977000058,100000,-nan,378.052814,101550.2643,11.59249593
16,16,256,128,0.5,100000,-nan,386.3828609,99059.85536,11.30820267
17,17,289,144,0.4981999993,100000,-nan,481.682575,100355.3997,11.45609585
18,18,324,162,0.5,100000,-nan,536.698307,98242.43712,11.21489008
19,19,361,180,0.4986000061,100000,-nan,593.0779991,99145.97376,11.31803353
20,20,400,200,0.5,100000,-nan,643.657073,96324.56704,10.99595514
22,22,484,242,0.5,100000,-nan,805.3055639,96044.3392,10.96396566
24,24,576,288,0.5,100000,-nan,922.166621,93971.59936,10.72735153
26,26,676,338,0.5,100000,-nan,1146.978458,94663.92576,10.80638422
28,28,784,392,0.5,100000,-nan,1400.729559,92311.61344,10.53785542
