ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,-nan,0.4825689793,187409.6128,21.39379142
5,5,25,6,0.2399999946,100000,-nan,0.5654699802,328664.8832,37.51882228
6,6,36,6,0.1666000038,100000,-nan,0.7795169353,465187.799,53.10363003
7,7,49,6,0.1224000007,100000,-nan,1.190535069,588341.8624,67.16231306
8,8,64,6,0.09369999915,100000,-nan,1.841388941,696455.0042,79.50399591
9,9,81,6,0.07400000095,100000,-nan,2.753957987,790962.9952,90.29257936
10,10,100,6,0.05999999866,100000,-nan,4.021190166,873395.8144,99.70271854
11,11,121,6,0.04949999973,100000,-nan,5.7187922,946490.9824,108.0469158
12,12,144,6,0.04160000011,100000,-nan,7.951009989,1010845.45,115.3933162
13,13,169,6,0.03550000116,100000,-nan,10.80225396,1068059.034,121.9245472
