ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,0.4256169796,114976.1741,13.12513403
5,5,25,12,0.4799999893,100000,-nan,0.4634640217,119265.6179,13.61479657
6,6,36,18,0.5,100000,-nan,0.6677880287,107200.7987,12.2375341
7,7,49,24,0.4896999896,100000,-nan,1.018746138,109671.6186,12.51959116
8,8,64,32,0.5,100000,-nan,1.67090416,103783.2192,11.84739945
9,9,81,40,0.4938000143,100000,-nan,2.595701933,105396.0192,12.03150904
10,10,100,50,0.5,100000,-nan,3.870424986,101919.5392,11.63465059
11,11,121,60,0.4957999885,100000,-nan,5.647243977,103033.3133,11.76179375
12,12,144,72,0.5,100000,-nan,7.838578939,100770.4269,11.50347339
13,13,169,84,0.4970000088,100000,-nan,10.89932704,101515.5302,11.58853085
14,14,196,98,0.5,100000,-nan,14.50918603,99884.40064,11.40232884
15,15,225,112,0.4977000058,100000,-nan,19.13406897,100547.3382,11.47800665
16,16,256,128,0.5,100000,-nan,23.41340399,99326.79168,11.33867485
17,17,289,144,0.4981999993,100000,-nan,31.51093388,99809.7408,11.39380603
18,18,324,162,0.5,100000,-nan,40.25029492,98871.0912,11.28665425
19,19,361,180,0.4986000061,100000,-nan,50.59674788,99227.0336,11.32728694
20,20,400,200,0.5,100000,-nan,62.35665703,98492.75392,11.24346506
22,22,484,242,0.5,100000,-nan,91.11564493,98211.03104,11.21130491
24,24,576,288,0.5,100000,-nan,131.4123011,97963.6224,11.18306192
26,26,676,338,0.5,100000,-nan,179.4434052,97774.1312,11.1614305
28,28,768,-nan,-nan,-nan,-nan,-nan,-nan,-nan
30,30,900,450,0.5,100000,-nan,322.8011382,97468.8256,11.12657826
32,32,1024,512,0.5,100000,-nan,395.466795,97328.91648,11.1106069
35,35,1225,612,0.4995000064,100000,-nan,603.150023,97360.30208,11.11418974
37,37,1369,684,0.4995999932,100000,-nan,722.9270668,97228.35968,11.09912782
38,38,1444,722,0.5,100000,-nan,1036.159953,96223.25248,10.98438955
40,40,1600,800,0.5,100000,-nan,1044.995413,96948.74624,11.06720847
42,42,1764,882,0.5,100000,-nan,1266.932813,96880.20992,11.05938469
43,43,1849,924,0.4997000098,100000,-nan,1395.668813,96970.21952,11.06965976
