ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,0.545799017,115133.143,13.14305286
5,5,25,12,0.4799999893,100000,-nan,0.9717438221,119288.9754,13.61746294
6,6,36,18,0.5,100000,-nan,1.806612015,107215.1552,12.23917297
7,7,49,24,0.4896999896,100000,-nan,3.208884954,109715.3843,12.52458725
8,8,64,32,0.5,100000,-nan,5.290189028,103777.8944,11.8467916
9,9,81,40,0.4938000143,100000,-nan,8.391304016,105346.6522,12.02587353
10,10,100,50,0.5,100000,-nan,12.5691278,101926.5843,11.63545483
11,11,121,60,0.4957999885,100000,-nan,18.44669819,103032.8013,11.76173531
12,12,144,72,0.5,100000,-nan,25.73261213,100715.7453,11.4972312
13,13,169,84,0.4970000088,100000,-nan,35.61540699,101536.1024,11.59087927
