ROWS,COLS,NUM_OF_CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,5574,4.780030631,0.1898739338,191261.7764,21.83353612
5,5,25,6,0.24,3115,8.324970782,0.140515089,333114.1325,38.02672746
6,6,36,6,0.1666,1909,11.7357918,0.182546854,469764.7244,53.62611009
7,7,49,6,0.1224,1410,14.79209143,0.2566919327,592305.8467,67.61482268
10,10,100,6,0.06,855,21.84370344,0.6609039307,874995.1975,99.88529652
11,11,121,6,0.0495,784,23.6569913,0.903922081,947919.6592,108.2100068
15,15,225,6,0.0266,679,29.06477626,2.688074112,1164751.46,132.9624955
16,16,256,6,0.0234,638,30.1672057,3.209896803,1210014.642,138.1295254
17,17,289,6,0.0207,615,31.11300717,3.923962831,1246633.667,142.3097793
18,18,324,6,0.0185,610,32.05496117,4.902966976,1284970.755,146.6861593
19,19,361,6,0.0166,606,32.87734475,6.036482096,1318343.931,150.4958826
20,20,400,6,0.015,596,33.63103278,7.301561832,1349023.136,153.9980749
22,22,484,6,0.0123,573,35.0307915,10.36245418,1404757.894,160.3604902
25,25,625,6,0.0096,561,36.80467153,16.85574293,1475121.875,168.3929082
30,30,900,6,0.0066,555,39.25919498,34.61616707,1573939.034,179.6734057
35,35,1225,6,0.0048,536,41.26443279,62.33697581,1654368.043,188.8547994
40,40,1600,6,0.0037,529,42.77923649,105.098655,1715187.266,195.7976332
42,42,1764,6,0.0034,529,43.16903531,127.9946148,1732250.492,197.7454899
